Recv Rate(Mb/s)	RTT(ms)	Packets Recvd
6.52094		10000	560		
6.48622		10000	557		
8.26786		10000	710		
8.83871		10000	759		
7.82549		10000	672		
6.64938		10000	571		
6.62608		10000	569		
5.96226		10000	512		
6.3116		10000	542		
3.9825		10000	342		
3.97101		10000	341		
3.45859		10000	297		
2.3058		10000	198		
2.21262		10000	190		
2.41049		10000	207		
2.64354		10000	227		
2.99274		10000	257		
2.82977		10000	243		
4.44858		10000	382		
4.73941		10000	407		
4.69098		10000	403		
5.4243		10000	466		
6.49526		10000	558		
5.6596		10000	486		
5.70609		10000	490		
5.58888		10000	480		
4.93733		10000	424		
6.90588		10000	593		
5.93907		10000	510		
6.24176		10000	536		
5.71774		10000	491		
4.58629		10000	394		
4.53975		10000	390		
2.58416		10000	222		
2.86443		10000	246		
5.74143		10000	493		
7.42992		10000	638		
6.75405		10000	580		
7.16176		10000	615		
6.91722		10000	594		
7.38246		10000	634		
7.20835		10000	619		
5.5759		10000	479		
3.85308		10000	331		
2.96828		10000	255		
3.60965		10000	310		
3.49353		10000	300		
2.0612		10000	177		
2.3057		10000	198		
2.53858		10000	218		
2.48057		10000	213		
2.55028		10000	219		
3.15585		10000	271		
3.29554		10000	283		
3.50536		10000	301		
5.61311		10000	482		
7.23157		10000	621		
10.2365		10000	879		
9.40875		10000	808		
9.36266		10000	804		
10.3174		10000	886		
5.54316		10000	476		
6.41664		10000	551		
6.41644		10000	551		
4.9843		10000	428		
6.4866		10000	557		
6.46195		10000	555		
6.64933		10000	571		
7.09152		10000	609		
8.43152		10000	724		
10.609		10000	911		
6.94923		10000	597		
10.0495		10000	863		
8.38451		10000	720		
8.32655		10000	715		
7.8138		10000	671		
6.3348		10000	544		
6.19456		10000	532		
8.65252		10000	743		
8.19806		10000	704		
9.53764		10000	819		
8.78876		10000	755		
8.50047		10000	730		
10.3987		10000	893		
11.5822		10000	995		
13.0047		10000	1117		
14.2423		10000	1223		
8.81404		10000	757		
8.7104		10000	748		
9.28089		10000	797		
7.24316		10000	622		
7.41785		10000	637		
9.45254		10000	812		
9.49848		10000	816		
9.79111		10000	841		
9.63998		10000	828		
8.60539		10000	739		
12.1465		10000	1043		
13.7531		10000	1181		
13.982		10000	1201		
16.6517		10000	1430		
14.7072		10000	1263		
9.31587		10000	800		
8.41799		10000	723		
6.10062		10000	524		
5.0868		10000	437		
4.41164		10000	379		
3.90054		10000	335		
4.96078		10000	426		
4.75119		10000	408		
4.94909		10000	425		
5.85552		10000	503		
4.36522		10000	375		
6.00863		10000	516		
4.88886		10000	420		
6.04128		10000	519		
6.28859		10000	540		
16.5834		10000	1424		
8.45455		10000	726		
7.3479		10000	631		
8.65272		10000	743		
6.63789		10000	570		
6.19523		10000	532		
5.3093		10000	456		
5.19152		10000	446		
4.33192		10000	372		
4.27194		10000	367		
6.01809		10000	517		
6.83554		10000	587		
6.93963		10000	596		
6.18329		10000	531		
6.50953		10000	559		
7.32479		10000	629		
7.76685		10000	667		
8.7806		10000	754		
9.50241		10000	816		
9.09204		10000	781		
8.60217		10000	739		
8.03171		10000	690		
8.96659		10000	770		
8.46623		10000	727		
7.48798		10000	643		
6.81255		10000	585		
6.30009		10000	541		
6.59113		10000	566		
6.27403		10000	539		
7.01092		10000	602		
7.46494		10000	641		
