1,100 
2,10.4 
3,4.59 
4,4.47 
5,18.5 
6,6.30 
7,10.8 
8,6.77 
9,6.80 
10,6.69 
11,11.5 
12,5.98 
13,9.13 
14,5.10 
15,5.14 
16,6.50 
17,7.39 
18,9.47 
19,5.19 
20,9.82 
21,12.6 
22,5.54 
23,7.89 
24,5.13 
25,10.2 
26,8.33 
27,6.24 
28,12.0 
29,7.02 
30,9.64 
31,26.0 
32,5.69 
33,5.88 
34,17.6 
35,5.82 
36,25.9 
37,11.7 
38,7.47 
39,15.8 
40,20.8 
41,8.31 
42,11.2 
43,7.88 
44,10.2 
45,10.6 
46,7.75 
47,12.0 
48,17.0 
49,13.8 
50,28.7 
51,84.6 
52,368 
55,161 
56,71.7 
57,211 
58,20.1 
59,49.6 
60,82.1 
61,169 
62,118 
63,33.8 
65,72.5 
66,47.3 
67,17.1 
68,58.7 
69,18.5 
70,26.8 
71,15.1 
72,36.0 
73,20.8 
74,30.3 
75,11.6 
76,9.36 
77,24.7 
78,8.92 
79,7.19 
80,66.3 
81,18.1 
82,36.2 
83,19.1 
84,12.1 
85,4.43 
86,11.1 
87,6.85 
88,8.13 
89,4.23 
90,8.99 
91,6.35 
92,4.80 
93,5.51 
94,5.17 
95,7.62 
96,4.86 
97,4.95 
98,4.74 
99,5.80 
100,6.27 
101,9.02 
102,5.37 
103,4.67 
104,6.15 
105,11.7 
106,9.53 
107,6.37 
108,7.13 
109,13.7 
110,7.18 
111,4.81 
112,4.97 
113,5.34 
114,6.28 
115,8.91 
116,5.48 
117,5.69 
118,10.2 
119,8.83 
120,5.46 
121,5.74 
122,8.58 
123,5.86 
124,13.5 
125,4.59 
126,8.46 
127,6.83 
128,9.31 
129,5.83 
130,4.13 
131,5.90 
132,10.9 
133,10.6 
134,7.36 
135,10.3 
136,12.7 
137,4.89 
138,23.1 
139,4.73 
140,9.43 
141,14.0 
142,11.7 
143,5.06 
144,13.4 
145,6.97 
146,6.83 
147,4.63 
148,5.51 
149,10.4 
150,13.0 
151,11.2 
152,8.36 
153,4.77 
154,4.78 
155,7.44 
156,12.1 
157,4.94 
158,5.84 
159,15.1 
160,9.63 
161,23.4 
162,7.23 
163,4.76 
164,18.1 
165,10.9 
166,7.89 
167,20.1 
168,9.92 
169,9.31 
170,6.56 
171,12.6 
172,8.01 
173,15.6 
174,9.12 
175,7.39 
176,5.22 
177,8.18 
178,13.8 
179,7.76 
180,6.29 
181,5.36 
182,13.7 
183,5.41 
184,5.40 
185,7.21 
186,4.81 
187,7.04 
188,5.65 
189,15.0 
190,12.5 
191,12.4 
