Bytes_written    Bytes_read    Elapsed_time    start_time
>100005    14444    -176.187    1.5914e+12    
>100005    101453    -424.776    1.5914e+12    
>100005    201453    597.495    1.5914e+12    
>100005    301453    -384.249    1.5914e+12    
>100005    401453    -211.832    1.5914e+12    
>100005    501453    -49.27    1.5914e+12    
>100005    601453    639.65    1.5914e+12    
>100005    701453    -272.491    1.5914e+12    
>100005    801453    -101.329    1.5914e+12    
>100005    901453    -173.217    1.5914e+12    
>100005    1001453    598.874    1.5914e+12    
>100005    1101453    -388.087    1.5914e+12    
>100005    1201453    381.177    1.5914e+12    
>100005    1301453    -164.051    1.5914e+12    
>100005    1401453    128347    1.5914e+12    
>100005    1501453    -886.242    1.5914e+12    
>100005    1601453    620.984    1.5914e+12    
>100005    1701453    -392.364    1.5914e+12    
>100005    1801453    -149.104    1.5914e+12    
>100005    1901453    569.212    1.5914e+12    
>100005    2001453    -513.675    1.5914e+12    
>100005    2101453    760.5    1.5914e+12    
>100005    2201453    -665.426    1.5914e+12    
>100005    2301453    473.024    1.5914e+12    
>100005    2401453    -405.049    1.5914e+12    
>100005    2501453    560.409    1.5914e+12    
>100005    2601453    -469.379    1.5914e+12    
>100005    2701453    -181.497    1.5914e+12    
>100005    2801453    -31.094    1.5914e+12    
>100005    2901453    267.63    1.5914e+12    
>100005    3001453    -441.551    1.5914e+12    
>100005    3101453    531.692    1.5914e+12    
>100005    3201453    52.5811    1.5914e+12    
>100005    3301453    108.992    1.5914e+12    
>100005    3401453    -464.779    1.5914e+12    
>100005    3501453    522.169    1.5914e+12    
>100005    3601453    -506.439    1.5914e+12    
>100005    3701453    474.918    1.5914e+12    
>100005    3801453    -504.747    1.5914e+12    
>100005    3901453    516.834    1.5914e+12    
>100005    4001453    -478.877    1.5914e+12    
>100005    4101453    498.885    1.5914e+12    
>100005    4201453    -394.262    1.5914e+12    
>100005    4301453    488.506    1.5914e+12    
>100005    4401453    -542.71    1.5914e+12    
>100005    4501453    472.768    1.5914e+12    
>100005    4601453    -457.634    1.5914e+12    
>100005    4701453    588.171    1.5914e+12    
>100005    4801453    -394.555    1.5914e+12    
>100005    4900245    -528.702    1.5914e+12    
>100005    5000245    460.991    1.5914e+12    
>100005    5100245    457.037    1.5914e+12    
>100005    5200245    -493.332    1.5914e+12    
>100005    5300245    450.648    1.5914e+12    
>100005    5400245    -539.455    1.5914e+12    
>100005    5500245    464.536    1.5914e+12    
>100005    5600245    -539.759    1.5914e+12    
>100005    5700245    507.27    1.5914e+12    
>100005    5800245    -534.988    1.5914e+12    
>100005    5900245    466.199    1.5914e+12    
>100005    6000245    -538.324    1.5914e+12    
>100005    6100245    469.342    1.5914e+12    
>100005    6200245    -526.493    1.5914e+12    
>100005    6300245    491.728    1.5914e+12    
>100005    6400245    -509.744    1.5914e+12    
>100005    6500245    459.386    1.5914e+12    
>100005    6600245    -493.044    1.5914e+12    
>100005    6700245    498.199    1.5914e+12    
>100005    6775631    -240.602    1.5914e+12    
>100005    6875631    200.666    1.5914e+12    
>100005    6975631    -552.267    1.5914e+12    
>100005    7075631    438.746    1.5914e+12    
>100005    7175631    546.857    1.5914e+12    
>100005    7275631    -573.041    1.5914e+12    
>100005    7375631    475.992    1.5914e+12    
>100005    7475631    127416    1.5914e+12    
>100005    7575631    449.127    1.5914e+12    
>100005    7675631    -544.013    1.5914e+12    
>100005    7775631    460.786    1.5914e+12    
>100005    7875631    -497.595    1.5914e+12    
>100005    7975631    450.095    1.5914e+12    
>100005    8075631    -535.027    1.5914e+12    
>100005    8175631    478.532    1.5914e+12    
>100005    8275631    -529.971    1.5914e+12    
>100005    8375631    455.118    1.5914e+12    
>100005    8475631    394.913    1.5914e+12    
>100005    8575631    -471.218    1.5914e+12    
>100005    8675631    450.138    1.5914e+12    
>100005    8775631    -519.615    1.5914e+12    
>100005    8875631    441.018    1.5914e+12    
>100005    8975631    -516.697    1.5914e+12    
>100005    9075631    468.225    1.5914e+12    
>100005    9175631    -539.336    1.5914e+12    
>100005    9275631    476.9    1.5914e+12    
>100005    9375631    -506.447    1.5914e+12    
>100005    9475631    481.079    1.5914e+12    
>100005    9575631    -535.785    1.5914e+12    
>100005    9674328    512.494    1.5914e+12    
>100005    9774328    -537.983    1.5914e+12    
>100005    9874328    457.477    1.5914e+12    
>100005    9974328    -541.228    1.5914e+12    
>100005    10074328    528.503    1.5914e+12    
>100005    10174328    -538.835    1.5914e+12    
>100005    10274328    440.264    1.5914e+12    
>100005    10374328    477.679    1.5914e+12    
>100005    10438168    -475.144    1.5914e+12    
>100005    10476844    282.038    1.5914e+12    
>100005    10517332    -23.9089    1.5914e+12    
>100005    10617332    -505.524    1.5914e+12    
>100005    10717332    494.275    1.5914e+12    
>100005    10817332    -461.762    1.5914e+12    
>100005    10917332    460.363    1.5914e+12    
>100005    11017332    -473.132    1.5914e+12    
>100005    11117332    462.057    1.5914e+12    
>100005    11217332    -512.332    1.5914e+12    
>100005    11317332    456.208    1.5914e+12    
>100005    11417332    -527.734    1.5914e+12    
>100005    11517332    459.12    1.5914e+12    
>100005    11617332    -543.004    1.5914e+12    
>100005    11717332    464.108    1.5914e+12    
>100005    11817332    457.036    1.5914e+12    
>100005    11917332    -516.369    1.5914e+12    
>100005    12017332    450.557    1.5914e+12    
>100005    12117332    -560.54    1.5914e+12    
>100005    12217332    456.492    1.5914e+12    
>100005    12317332    -497.987    1.5914e+12    
>100005    12417332    462.554    1.5914e+12    
>100005    12517332    -472.996    1.5914e+12    
>100005    12617332    456.023    1.5914e+12    
>100005    12717332    -464.437    1.5914e+12    
>100005    12817332    511.575    1.5914e+12    
>100005    12906437    -499.452    1.5914e+12    
>100005    12986077    360.17    1.5914e+12    
>100005    13086077    -543.421    1.5914e+12    
>100005    13186077    487.532    1.5914e+12    
>100005    13286077    -559.427    1.5914e+12    
>100005    13386077    512.081    1.5914e+12    
>100005    13406450    -457.758    1.5914e+12    
>100005    13407898    499.024    1.5914e+12    
>100005    13484634    -585.599    1.5914e+12    
>100005    13584634    537.312    1.5914e+12    
>100005    13684634    430.544    1.5914e+12    
>100005    13784634    -515.061    1.5914e+12    
>100005    13884634    476.944    1.5914e+12    
>100005    13984634    -569.236    1.5914e+12    
>100005    14084634    429.695    1.5914e+12    
>100005    14184634    127458    1.5914e+12    
>100005    14284634    448.443    1.5914e+12    
>100005    14384634    -535.927    1.5914e+12    
>100005    14484634    435.52    1.5914e+12    
>100005    14584634    -522.941    1.5914e+12    
>100005    14684634    458.364    1.5914e+12    
>100005    14784634    -542.1    1.5914e+12    
>100005    14884634    490.935    1.5914e+12    
>100005    14984634    456.369    1.5914e+12    
>100005    15084634    -494.436    1.5914e+12    
>100005    15184634    475.932    1.5914e+12    
>100005    15284634    -535.993    1.5914e+12    
>100005    15384634    437.836    1.5914e+12    
>100005    15484634    -513.004    1.5914e+12    
>100005    15584634    469.602    1.5914e+12    
>100005    15684634    -387.222    1.5914e+12    
>100005    15784634    425.763    1.5914e+12    
>100005    15884634    -541.274    1.5914e+12    
>100005    15984634    570.942    1.5914e+12    
>100005    16084634    -545.929    1.5914e+12    
>100005    16184634    453.117    1.5914e+12    
>100005    16284634    -554.717    1.5914e+12    
>100005    16384634    -142.335    1.5914e+12    
>100005    16484634    431.993    1.5914e+12    
>100005    16584634    -530.909    1.5914e+12    
>100005    16684634    442.314    1.5914e+12    
>100005    16784634    476.516    1.5914e+12    
>100005    16884634    -516.846    1.5914e+12    
>100005    16984634    479.31    1.5914e+12    
>100005    17084634    -483.366    1.5914e+12    
>100005    17184634    464.66    1.5914e+12    
>100005    17284634    -543.502    1.5914e+12    
>100005    17384634    429.108    1.5914e+12    
>100005    17484634    -520.278    1.5914e+12    
>100005    17584634    446.916    1.5914e+12    
>100005    17684634    -476.467    1.5914e+12    
>100005    17784634    490.398    1.5914e+12    
>100005    17884634    -534.896    1.5914e+12    
>100005    17984634    440.225    1.5914e+12    
>100005    18084634    -549.506    1.5914e+12    
>100005    18184634    220.846    1.5914e+12    
>100005    18284634    449.927    1.5914e+12    
>100005    18384634    -535.519    1.5914e+12    
>100005    18484634    455.219    1.5914e+12    
>100005    18584634    -646.355    1.5914e+12    
>100005    18684634    613.82    1.5914e+12    
>100005    18784634    -443.854    1.5914e+12    
>100005    18884634    482.495    1.5914e+12    
>100005    18984634    -552.79    1.5914e+12    
>100005    19084634    461.199    1.5914e+12    
>100005    19184634    -516.168    1.5914e+12    
>100005    19284634    450.26    1.5914e+12    
>100005    19384634    456.885    1.5914e+12    
>100005    19484634    -549.508    1.5914e+12    
>100005    19584634    495.39    1.5914e+12    
>100005    19684634    -484.23    1.5914e+12    
>100005    19784634    463.131    1.5914e+12    
>100005    19884634    -505.794    1.5914e+12    
>100005    19984634    478.732    1.5914e+12    
>100005    20084634    -539.111    1.5914e+12    
>100005    20184634    436.693    1.5914e+12    
>100005    20284634    -542.249    1.5914e+12    
>100005    20384634    490.528    1.5914e+12    
>100005    20484634    -520.991    1.5914e+12    
>100005    20584634    448.964    1.5914e+12    
>100005    20684634    -541.697    1.5914e+12    
>100005    20784634    478.498    1.5914e+12    
>100005    20884634    -545.784    1.5914e+12    
>100005    20984634    496.395    1.5914e+12    
>100005    21084634    -532.304    1.5914e+12    
>100005    21184634    462.854    1.5914e+12    
>100005    21284634    461.574    1.5914e+12    
>100005    21384634    -587.149    1.5914e+12    
>100005    21484634    445.591    1.5914e+12    
>100005    21584634    -389.507    1.5914e+12    
>100005    21684634    507.867    1.5914e+12    
>100005    21784634    -562.341    1.5914e+12    
>100005    21884634    552.066    1.5914e+12    
>100005    21984634    -496.206    1.5914e+12    
>100005    22084634    461.783    1.5914e+12    
>100005    22184634    -548.596    1.5914e+12    
>100005    22284634    468.524    1.5914e+12    
>100005    22384634    -527.498    1.5914e+12    
>100005    22484634    499.049    1.5914e+12    
>100005    22584634    -522.937    1.5914e+12    
>100005    22684634    450.726    1.5914e+12    
>100005    22784634    -479.094    1.5914e+12    
>100005    22884634    470.979    1.5914e+12    
>100005    22984634    -523.104    1.5914e+12    
>100005    23084634    451.141    1.5914e+12    
>100005    23184634    -495.426    1.5914e+12    
>100005    23284634    464.672    1.5914e+12    
>100005    23384634    -555.471    1.5914e+12    
>100005    23484634    525.074    1.5914e+12    
>100005    23584634    -517.27    1.5914e+12    
>100005    23684634    536.913    1.5914e+12    
>100005    23784634    -560.695    1.5914e+12    
>100005    23884634    455.467    1.5914e+12    
>100005    23984634    -442.516    1.5914e+12    
>100005    24084634    519.033    1.5914e+12    
>100005    24184634    -539.697    1.5914e+12    
>100005    24284634    138.52    1.5914e+12    
>100005    24384634    538.08    1.5914e+12    
>100005    24484634    -526.511    1.5914e+12    
>100005    24584634    455.174    1.5914e+12    
>100005    24684634    -547.51    1.5914e+12    
>100005    24784634    445.986    1.5914e+12    
>100005    24884634    450.567    1.5914e+12    
>100005    24984634    -546.446    1.5914e+12    
>100005    25084634    472.532    1.5914e+12    
>100005    25184634    -598.159    1.5914e+12    
>100005    25284634    438.119    1.5914e+12    
>100005    25384634    -481.267    1.5914e+12    
>100005    25484634    454.995    1.5914e+12    
>100005    25584634    -539.589    1.5914e+12    
>100005    25684634    458.643    1.5914e+12    
>100005    25784634    -549.779    1.5914e+12    
>100005    25884634    462.3    1.5914e+12    
>100005    25984634    -494.606    1.5914e+12    
>100005    26084634    467.655    1.5914e+12    
>100005    26184634    403.664    1.5914e+12    
>100005    26284634    -550.677    1.5914e+12    
>100005    26384634    457.716    1.5914e+12    
>100005    26484634    -546.757    1.5914e+12    
>100005    26584634    497.034    1.5914e+12    
>100005    26684634    -521.665    1.5914e+12    
>100005    26784634    460.037    1.5914e+12    
>100005    26884634    -530.402    1.5914e+12    
>100005    26984634    455.469    1.5914e+12    
>100005    27084634    -500.818    1.5914e+12    
>100005    27184634    461.071    1.5914e+12    
>100005    27284634    -530.073    1.5914e+12    
>100005    27384634    479.38    1.5914e+12    
>100005    27484634    -561.675    1.5914e+12    
>100005    27584634    527.883    1.5914e+12    
>100005    27684634    -536.472    1.5914e+12    
>100005    27784634    486.978    1.5914e+12    
>100005    27884634    477.948    1.5914e+12    
>100005    27984634    -544.959    1.5914e+12    
>100005    28084634    477.213    1.5914e+12    
>100005    28184634    -527.581    1.5914e+12    
>100005    28284634    469.45    1.5914e+12    
>100005    28384634    -539.159    1.5914e+12    
>100005    28484634    471.179    1.5914e+12    
>100005    28584634    -471.799    1.5914e+12    
>100005    28684634    447.078    1.5914e+12    
>100005    28784634    -525.473    1.5914e+12    
>100005    28884634    455.081    1.5914e+12    
>100005    28984634    -520.992    1.5914e+12    
>100005    29084634    446.905    1.5914e+12    
>100005    29184634    -545.749    1.5914e+12    
>100005    29284634    440.892    1.5914e+12    
>100005    29384634    -505.056    1.5914e+12    
>100005    29484634    507.352    1.5914e+12    
>100005    29584634    447.074    1.5914e+12    
>100005    29684634    -531.221    1.5914e+12    
>100005    29784634    466.21    1.5914e+12    
>100005    29884634    -568.813    1.5914e+12    
>100005    29984634    473.686    1.5914e+12    
>100005    30084634    -533.583    1.5914e+12    
>100005    30184634    452.797    1.5914e+12    
>100005    30284634    -537.534    1.5914e+12    
>100005    30384634    463.988    1.5914e+12    
>100005    30484634    -564.511    1.5914e+12    
>100005    30584634    482.95    1.5914e+12    
>100005    30684634    -550.559    1.5914e+12    
>100005    30784634    404.34    1.5914e+12    
>100005    30884634    454.824    1.5914e+12    
>100005    30984634    127463    1.5914e+12    
>100005    31084634    491.645    1.5914e+12    
>100005    31184634    -521.396    1.5914e+12    
>100005    31284634    134.525    1.5914e+12    
>100005    31384634    462.722    1.5914e+12    
>100005    31484634    -523.71    1.5914e+12    
>100005    31584634    555.405    1.5914e+12    
>100005    31684634    -674.743    1.5914e+12    
>100005    31784634    573.19    1.5914e+12    
>100005    31884634    -485.95    1.5914e+12    
>100005    31984634    484.027    1.5914e+12    
>100005    32084634    -543.294    1.5914e+12    
>100005    32184634    458.01    1.5914e+12    
>100005    32284634    -509.593    1.5914e+12    
>100005    32384634    448.208    1.5914e+12    
>100005    32484634    -553.348    1.5914e+12    
>100005    32584634    465.285    1.5914e+12    
>100005    32684634    -586.139    1.5914e+12    
>100005    32784634    467.514    1.5914e+12    
>100005    32884634    -517.714    1.5914e+12    
>100005    32984634    403.116    1.5914e+12    
>100005    33084634    523.807    1.5914e+12    
>100005    33184634    -551.212    1.5914e+12    
>100005    33284634    435.612    1.5914e+12    
>100005    33384634    -534.506    1.5914e+12    
>100005    33484634    461.813    1.5914e+12    
>100005    33584634    -606.142    1.5914e+12    
>100005    33684634    498.985    1.5914e+12    
>100005    33784634    -504.864    1.5914e+12    
>100005    33884634    454.472    1.5914e+12    
>100005    33984634    186.731    1.5914e+12    
>100005    34084634    -745.397    1.5914e+12    
>100005    34184634    576.615    1.5914e+12    
>100005    34284634    -548.689    1.5914e+12    
>100005    34384634    400.546    1.5914e+12    
>100005    34484634    448.412    1.5914e+12    
>100005    34584634    -534.234    1.5914e+12    
>100005    34684634    473.305    1.5914e+12    
>100005    34784634    -525.251    1.5914e+12    
>100005    34884634    519.99    1.5914e+12    
>100005    34984634    -497.369    1.5914e+12    
>100005    35084634    521.615    1.5914e+12    
>100005    35184634    -452.42    1.5914e+12    
>100005    35284634    503.096    1.5914e+12    
>100005    35384634    -540.244    1.5914e+12    
>100005    35484634    460.328    1.5914e+12    
>100005    35584634    -399.899    1.5914e+12    
>100005    35684634    461.269    1.5914e+12    
>100005    35784634    -537.934    1.5914e+12    
>100005    35884634    467.508    1.5914e+12    
>100005    35984634    -537.358    1.5914e+12    
>100005    36084634    505.477    1.5914e+12    
>100005    36184634    -539.355    1.5914e+12    
>100005    36284634    467.314    1.5914e+12    
>100005    36384634    -520.507    1.5914e+12    
>100005    36484634    478.043    1.5914e+12    
>100005    36584634    -484.031    1.5914e+12    
