Bytes_written    Bytes_read    Elapsed_time    start_time
1448    1448    -270.942    1.5914e+12
1448    2896    2.86084    1.5914e+12
2896    5792    4.41382    1.5914e+12
2896    8688    45.7241    1.5914e+12
1448    10136    13.8911    1.5914e+12
39096    49232    6.55908    1.5914e+12
21720    70952    45.178    1.5914e+12
5792    76744    2.83398    1.5914e+12
1448    78192    37.821    1.5914e+12
1448    79640    5.42603    1.5914e+12
4344    83984    1.58984    1.5914e+12
1448    85432    5.16895    1.5914e+12
1448    86880    5.74194    1.5914e+12
2896    89776    11.4189    1.5914e+12
1448    91224    4.93604    1.5914e+12
1448    92672    8.79492    1.5914e+12
1448    94120    5.32593    1.5914e+12
1448    95568    0.171875    1.5914e+12
1448    97016    35.886    1.5914e+12
1448    98464    255.517    1.5914e+12
1541    100005    14.3188    1.5914e+12
1448    101453    30.8071    1.5914e+12
27512    128965    -887.948    1.5914e+12
1448    130413    3.00488    1.5914e+12
1448    131861    4.27002    1.5914e+12
1448    133309    4.01904    1.5914e+12
1448    134757    3.39404    1.5914e+12
1448    136205    4.37109    1.5914e+12
1448    137653    7.08789    1.5914e+12
1448    139101    0.101074    1.5914e+12
1448    140549    13.6421    1.5914e+12
1448    141997    115.027    1.5914e+12
1448    143445    0.207031    1.5914e+12
2896    146341    0.570068    1.5914e+12
1448    147789    33.6619    1.5914e+12
8688    156477    3.55493    1.5914e+12
1448    157925    3.82495    1.5914e+12
1448    159373    3.81299    1.5914e+12
1448    160821    4.13013    1.5914e+12
1448    162269    7.74487    1.5914e+12
1448    163717    8.771    1.5914e+12
1448    165165    1.38208    1.5914e+12
1448    166613    0.608154    1.5914e+12
1448    168061    4.59692    1.5914e+12
1448    169509    3.69409    1.5914e+12
1448    170957    1.83521    1.5914e+12
1448    172405    4.17114    1.5914e+12
1448    173853    2.33081    1.5914e+12
1448    175301    4.53101    1.5914e+12
1448    176749    2.25684    1.5914e+12
1448    178197    2.92798    1.5914e+12
1448    179645    13.572    1.5914e+12
1448    181093    1.36694    1.5914e+12
1448    182541    0.579834    1.5914e+12
2896    185437    4.68604    1.5914e+12
1448    186885    0.830078    1.5914e+12
1448    188333    6.6062    1.5914e+12
1448    189781    5.33203    1.5914e+12
1448    191229    2.979    1.5914e+12
1448    192677    6.50488    1.5914e+12
1448    194125    2.75    1.5914e+12
1448    195573    5.76294    1.5914e+12
1448    197021    6.97485    1.5914e+12
1448    198469    9.12085    1.5914e+12
1541    200010    1.31616    1.5914e+12
1448    201458    227.033    1.5914e+12
1448    202906    6.09302    1.5914e+12
1448    204354    1.08203    1.5914e+12
1448    205802    3.92017    1.5914e+12
1448    207250    2.86279    1.5914e+12
1448    208698    0.724854    1.5914e+12
1448    210146    3.46704    1.5914e+12
1448    211594    2.39404    1.5914e+12
1448    213042    3.21191    1.5914e+12
1448    214490    2.50903    1.5914e+12
1448    215938    1.21802    1.5914e+12
1448    217386    3.22998    1.5914e+12
1448    218834    1.2771    1.5914e+12
1448    220282    4.81812    1.5914e+12
1448    221730    0.64624    1.5914e+12
1448    223178    11.259    1.5914e+12
1448    224626    9.84009    1.5914e+12
5792    230418    14.176    1.5914e+12
7240    237658    1.948    1.5914e+12
1448    239106    2.40405    1.5914e+12
1448    240554    11.115    1.5914e+12
1448    242002    1.36621    1.5914e+12
1448    243450    2.24414    1.5914e+12
1448    244898    3.42603    1.5914e+12
1448    246346    3.03613    1.5914e+12
1448    247794    0.916016    1.5914e+12
1448    249242    5.56299    1.5914e+12
1448    250690    0.0488281    1.5914e+12
1448    252138    1.78003    1.5914e+12
1448    253586    2.27612    1.5914e+12
1448    255034    2.60107    1.5914e+12
1448    256482    2.24585    1.5914e+12
1448    257930    1.6311    1.5914e+12
1448    259378    2.00708    1.5914e+12
1448    260826    2.26196    1.5914e+12
1448    262274    5.2439    1.5914e+12
1448    263722    22.2119    1.5914e+12
1448    265170    3.10693    1.5914e+12
1448    266618    13.354    1.5914e+12
7240    273858    0.849121    1.5914e+12
1448    275306    16.8159    1.5914e+12
1448    276754    16.46    1.5914e+12
8688    285442    3.71802    1.5914e+12
1448    286890    4.41113    1.5914e+12
1448    288338    5.5979    1.5914e+12
2896    291234    3.99097    1.5914e+12
2896    294130    0.101074    1.5914e+12
1448    295578    4.35303    1.5914e+12
2896    298474    0.984863    1.5914e+12
1448    299922    4.6438    1.5914e+12
93    300015    3.10205    1.5914e+12
1448    301463    -603.442    1.5914e+12
1448    302911    0.87207    1.5914e+12
2896    305807    5.85693    1.5914e+12
1448    307255    5.2251    1.5914e+12
1448    308703    9.08301    1.5914e+12
8688    317391    2.25415    1.5914e+12
1448    318839    0.683105    1.5914e+12
1448    320287    5.52612    1.5914e+12
2896    323183    1.91113    1.5914e+12
2896    326079    2.66089    1.5914e+12
1448    327527    0.947021    1.5914e+12
1448    328975    5.29004    1.5914e+12
1448    330423    4.28711    1.5914e+12
1448    331871    0.0949707    1.5914e+12
1448    333319    8.37793    1.5914e+12
1448    334767    26.4561    1.5914e+12
13032    347799    4.15088    1.5914e+12
4344    352143    4.13403    1.5914e+12
1448    353591    3.40796    1.5914e+12
1448    355039    7.20093    1.5914e+12
5792    360831    2.83301    1.5914e+12
1448    362279    4.10986    1.5914e+12
1448    363727    14.52    1.5914e+12
1448    365175    3.09814    1.5914e+12
1448    366623    2.97607    1.5914e+12
1448    368071    3.07495    1.5914e+12
2896    370967    1.92407    1.5914e+12
1448    372415    4.11206    1.5914e+12
2896    375311    0.418945    1.5914e+12
1448    376759    3.38721    1.5914e+12
1448    378207    3.95898    1.5914e+12
1448    379655    18.238    1.5914e+12
5792    385447    6.53296    1.5914e+12
2896    388343    7.18311    1.5914e+12
1448    389791    4.23608    1.5914e+12
1448    391239    2.78516    1.5914e+12
1448    392687    1.51904    1.5914e+12
1448    394135    3.58691    1.5914e+12
1448    395583    5.27197    1.5914e+12
1448    397031    0.307129    1.5914e+12
1448    398479    4.08203    1.5914e+12
1448    399927    0.906982    1.5914e+12
93    400020    4    1.5914e+12
1448    401468    414.428    1.5914e+12
1448    402916    10.2161    1.5914e+12
1448    404364    1.66699    1.5914e+12
1448    405812    21.4541    1.5914e+12
1448    407260    10.4519    1.5914e+12
8688    415948    15.2209    1.5914e+12
1448    417396    35.668    1.5914e+12
1448    418844    -909.05    1.5914e+12
18824    437668    10.2439    1.5914e+12
2896    440564    0.327881    1.5914e+12
4344    444908    8.771    1.5914e+12
2896    447804    7.90894    1.5914e+12
